Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5149.thisRepN,trials_5149.thisTrialN,trials_5149.thisN,trials_5149.thisIndex,DotsshowRT,response.keys,response.corr,key_skip.keys,total_score,response_2.keys,response_2.corr,key_skip_2.keys,response_3.keys,response_3.corr,key_skip_3.keys,key_skip_3.rt,response_4.keys,response_4.corr,key_skip_4.keys,key_skip_4.rt,text_2.started,text_5.started,text_2.stopped,text_5.stopped,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,0,0,0,1,,,,,,,,,,,,,0.10658970000076806,None,0,None,0,,,,,,,,,,,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,0,0,0,3,,,,,,,,,0.0781609000005119,,,,0,None,0,None,,,,,,,,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,0,0,2,,,,,1.4190646999995806,,,,-2,,,,None,0,None,,,,,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,,,,,0,1,1,3,,,,,0.7853777999989688,,,,-2,,,,None,0,space,0.45452299999851675,,,,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,0,2,2,0,,,,,1.5513756000000285,,,,-2,,,,None,0,space,1.1785537999985536,,,,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,,,,,0,3,3,1,,,,,1.3011545999997907,,,,-4,,,,None,0,None,,,,,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1.5s.mp4,red,green,right,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1.701287100000627,,,,-6,,,,,,,,None,0,None,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1s.mp4,green,red,left,Countdown_1s.jpg,0,0,0,0,,,,,,,,,,,,,0,1,1,3,0.7845930000003136,,,,-6,,,,,,,,None,0,space,0.44534309999835386,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1.5s.mp4,green,red,left,Countdown_1.5s.jpg,0,0,0,0,,,,,,,,,,,,,0,2,2,2,1.7678075000003446,,,,-8,,,,,,,,None,0,None,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
Countdown_1s.mp4,red,green,right,Countdown_1s.jpg,0,0,0,0,,,,,,,,,,,,,0,3,3,1,1.3680076000000554,,,,-10,,,,,,,,None,0,None,,,,,,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.09344380000039,58.09344380000039,59.09287640000002,59.09287640000002,776928,2 - with skip,"54:46, 51:49","1.5s, 1.0s",2023-07-13_14h51.33.384,Rewa's Exp,2023.1.2,59.98130982403422,
