Duration,Countdown,color1,color2,correct,screenshot,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_6040.thisRepN,trials_6040.thisTrialN,trials_6040.thisN,trials_6040.thisIndex,trials_5743.thisRepN,trials_5743.thisTrialN,trials_5743.thisN,trials_5743.thisIndex,trials_5446.thisRepN,trials_5446.thisTrialN,trials_5446.thisN,trials_5446.thisIndex,trials_5248.thisRepN,trials_5248.thisTrialN,trials_5248.thisN,trials_5248.thisIndex,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,Videoshowstart,Videoshowstop,VideoshowRT,response_3.keys,response_3.corr,response_3.rt,key_skip_3.keys,total_score,Dot_ratio,current_score,participant,Task,Dot Ratio,Deadline,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.343336500009173,space,0.6803692999965278,,,,,,,,,,,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.049203700007638,space,0.5650929000112228,,,,,,,,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,,,,,,,,,,,,14.100267999994685,15.601812900000368,1.5015449000056833,left,0,1.4803457999951206,None,-2,54:46,-2,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,,,,,,,,,,,,19.538027299990063,20.801737100002356,1.2637098000122933,left,1,1.2345348999951966,None,-1,54:46,1,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,,,,,,,,,,,,24.71054749999894,26.118394599994645,1.4078470999957062,left,0,1.3902775999886217,None,-3,54:46,-2,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,,,,,,,,,,,,30.080477900002734,31.468574099999387,1.388096199996653,left,1,1.365124999996624,None,-2,54:46,1,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2,Countdown_2s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,3,,,,,,,,,,,,35.39848119999806,36.73514009999053,1.3366588999924716,left,1,1.3109017999959178,None,-1,54:46,1,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2.5,Countdown_2.5s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,,,,,,,,,,,,40.65587049999158,41.57566639999277,0.9197959000011906,right,1,0.8854152999992948,None,0,54:46,1,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2,Countdown_2s.mp4,red,"[-1.0, 1.0, -1.0]",right,Countdown_2s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,1,2,6,1,,,,,,,,,,,,45.53281199999037,47.051938799995696,1.5191268000053242,right,1,1.4875087999971583,None,1,54:46,1,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
2.5,Countdown_2.5s.mp4,"[-1.0, 1.0, -1.0]",red,left,Countdown_2.5s.jpg,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,2,,,,,,,,,,,,51.00278799999796,52.685187700000824,1.6823997000028612,left,1,1.6581992999999784,None,2,54:46,1,,1 - without skip,"54:46, 52:48","2.5s, 2.0s",2023-07-21_15h32.22.748,Rewa's Exp,2023.1.2,60.0118343365149,
